episode,reward,steps,epsilon
277,590.0,723,0.2494556624678441
278,620.0,631,0.24820838415550486
279,410.0,479,0.24696734223472733
280,240.0,545,0.2457325055235537
281,1120.0,705,0.24450384299593592
282,560.0,527,0.24328132378095624
283,680.0,677,0.24206491716205145
284,680.0,629,0.2408545925762412
285,590.0,631,0.23965031961336
286,520.0,659,0.2384520680152932
287,370.0,639,0.23725980767521673
288,250.0,349,0.23607350863684065
289,470.0,713,0.23489314109365644
290,290.0,539,0.23371867538818816
291,580.0,637,0.23255008201124722
292,430.0,569,0.231387331601191
293,270.0,413,0.23023039494318503
294,270.0,507,0.2290792429684691
295,450.0,743,0.22793384675362674
296,400.0,463,0.22679417751985861
297,190.0,479,0.22566020663225933
298,850.0,841,0.22453190559909803
299,330.0,573,0.22340924607110255
300,480.0,515,0.22229219984074702
301,720.0,743,0.2211807388415433
302,600.0,547,0.22007483514733558
303,570.0,833,0.2189744609715989
304,390.0,517,0.2178795886667409
305,440.0,603,0.2167901907234072
306,590.0,623,0.21570623976979014
307,250.0,719,0.21462770857094118
308,490.0,635,0.21355457002808648
309,80.0,331,0.21248679717794605
310,250.0,465,0.21142436319205632
311,730.0,865,0.21036724137609603
312,560.0,629,0.20931540516921554
313,470.0,527,0.20826882814336947
314,520.0,469,0.20722748400265262
315,610.0,599,0.20619134658263935
316,230.0,461,0.20516038984972615
317,450.0,623,0.2041345879004775
318,210.0,535,0.2031139149609751
319,720.0,689,0.20209834538617025
320,620.0,751,0.2010878536592394
321,340.0,515,0.2000824143909432
322,460.0,629,0.19908200231898848
323,1070.0,691,0.19808659230739353
324,510.0,681,0.19709615934585656
325,460.0,563,0.19611067854912728
326,220.0,479,0.19513012515638165
327,470.0,605,0.19415447453059972
328,1150.0,641,0.19318370215794672
329,360.0,449,0.192217783647157
330,410.0,527,0.1912566947289212
331,400.0,665,0.1903004112552766
332,1040.0,681,0.18934890919900021
333,350.0,687,0.18840216465300522
334,300.0,485,0.18746015382974018
335,620.0,615,0.1865228530605915
336,170.0,421,0.18559023879528855
337,300.0,479,0.1846622876013121
338,730.0,635,0.18373897616330553
339,440.0,489,0.182820281282489
340,650.0,617,0.18190617987607657
341,360.0,583,0.18099664897669618
342,370.0,551,0.1800916657318127
343,1380.0,895,0.17919120740315364
344,1810.0,787,0.17829525136613786
345,610.0,805,0.17740377510930716
346,320.0,573,0.17651675623376062
347,580.0,767,0.1756341724525918
348,210.0,543,0.17475600159032884
349,540.0,697,0.17388222158237718
350,280.0,483,0.1730128104744653
351,420.0,643,0.17214774642209296
352,320.0,651,0.1712870076899825
353,1400.0,893,0.17043057265153258
354,250.0,521,0.16957841978827493
355,580.0,639,0.16873052768933355
356,680.0,737,0.1678868750508869
357,420.0,783,0.16704744067563246
358,910.0,689,0.1662122034722543
359,610.0,863,0.16538114245489302
360,450.0,669,0.16455423674261854
361,570.0,615,0.16373146555890544
362,410.0,673,0.16291280823111093
363,350.0,557,0.16209824418995536
364,620.0,765,0.16128775296900558
365,360.0,557,0.16048131420416054
366,620.0,673,0.15967890763313974
367,510.0,629,0.15888051309497406
