update,episodes_completed,avg_reward,avg_score,policy_loss,value_loss,entropy,clip_frac,kl,action_diversity,unique_states,explained_variance,advantage_std,positive_adv_frac
870,2771,96.69375,966.9375,-0.004121224163100123,2.264313593506813,1.9792323466390371,0.1611328125,0.004347890499047935,2.188145851411559,1225,0.81877998650074,3.169265805482864,0.427099609375
880,2800,96.86875,968.6875,-0.0025963832158595324,2.5666098184883595,2.075167264789343,0.1434326171875,0.004912117816274986,2.194338481541477,1332,0.8325770372152328,2.974127447605133,0.4310595703125
890,2827,96.2,962.0,-0.00390758148569148,4.722444361075759,2.0429008565843105,0.15966796875,0.00447693353635259,2.1729824325480194,1322,0.8389962428808212,2.97521856546402,0.4307177734375
900,2857,96.26875,962.6875,-0.003266549072577618,5.8929505329579115,2.032103091478348,0.089599609375,0.0035928008874179795,2.182859970216933,1315,0.8505547952651977,2.9328157091140747,0.428359375
910,2886,95.9125,959.125,-0.003065492695895955,7.968524878844619,2.0197579879313707,0.1397705078125,0.004581297602271661,2.189740286565925,1288,0.8606426930427551,2.8940127766132355,0.4262744140625
920,2918,97.70625,977.0625,-0.002834793267538771,2.2164457282051444,2.0258199218660593,0.1190185546875,0.005157953884918243,2.1828244855366754,1101,0.8684051978588104,2.8662454748153685,0.4185302734375
930,2945,98.8,988.0,-0.004927515605231747,1.342231904156506,2.1042045317590237,0.13427734375,0.0032390389824286103,2.1811970699518946,1239,0.8726027798652649,2.900386300086975,0.4149609375
940,2973,96.775,967.75,-0.003103442257270217,4.34629263728857,2.036993995308876,0.1068115234375,0.003649006859632209,2.185341843192411,1307,0.8771017920970917,2.857945747375488,0.4130322265625
950,3003,97.83125,978.3125,-0.00435627592378296,2.035809543915093,2.0400517508387566,0.14599609375,0.0049851411749841645,2.1839477481023954,1198,0.875677660703659,2.8842210638523103,0.4119873046875
960,3034,97.76875,977.6875,-0.0057039080711547285,9.972681637853384,2.0992549136281013,0.1444091796875,0.002480063834809698,2.189830760367266,1304,0.8699533140659332,2.9358711993694304,0.41111328125
970,3061,96.1125,961.125,-0.005259760597255081,1.1126637663692236,2.0372727420181036,0.135009765625,0.006061245017917827,2.176135165043469,1376,0.8642406088113784,2.9581537687778474,0.4114404296875
980,3092,93.76875,937.6875,-0.00495329505065456,1.0537751982919872,1.988741174340248,0.1834716796875,0.006006073075695895,2.182275799932029,1115,0.8685872942209244,2.889039406776428,0.4151611328125
990,3117,95.425,954.25,-0.0030381446558749303,3.847022314555943,2.0701526068150997,0.1998291015625,0.005789535905933008,2.18919944401149,1113,0.8579257303476333,2.933719962835312,0.4199853515625
1000,3146,95.68125,956.8125,-0.002814090665197,27.0341573394835,2.087144147604704,0.130859375,0.004036595244542696,2.1884773876787724,1217,0.8472495621442795,3.0116566753387453,0.4246240234375
1010,3174,96.29375,962.9375,-0.0038927088025957346,1.6666966560296714,2.0687648095190525,0.139404296875,0.006201183641678654,2.184422608695863,1281,0.8482624298334122,2.9634239900112154,0.424345703125
1020,3203,97.95,979.5,-0.002761327734333463,1.645490296650678,2.0599606819450855,0.122802734375,0.0039365519041894,2.1597091125560848,1289,0.8463683354854584,2.9407476317882537,0.4341357421875
1030,3231,102.00625,1020.0625,-0.003831792768323794,5.929130595177412,2.009627068415284,0.1708984375,0.003664080737507902,2.185169509935321,1398,0.8448913532495499,2.8942858469486237,0.4381640625
1040,3259,104.5125,1045.125,-0.003849500688374974,5.674703434109688,1.9873014278709888,0.1187744140625,0.004196164372842759,2.1652940673652368,1312,0.8435156011581421,2.898376759290695,0.437763671875
